DISTRICT,SchoolName,district_schoolname,tested or not?,not found in testing data list,count of schools
Rowland Unified,Killian Elementary,Rowland Unified_Killian Elementary,tested,FALSE,1
Rowland Unified,Rowland Unified Community Day,Rowland Unified_Rowland Unified Community Day,tested,FALSE,1
Rowland Unified,Shelyn Elementary,Rowland Unified_Shelyn Elementary,tested,FALSE,1
Long Beach Unified,Holmes Elementary,Long Beach Unified_Holmes Elementary,tested,FALSE,2
Long Beach Unified,Hoover Middle,Long Beach Unified_Hoover Middle,tested,FALSE,1
Long Beach Unified,Gompers K-8,Long Beach Unified_Gompers K-8,tested,FALSE,1
Long Beach Unified,MacArthur Elementary,Long Beach Unified_MacArthur Elementary,tested,FALSE,1
Long Beach Unified,Riley Elementary,Long Beach Unified_Riley Elementary,tested,FALSE,2
Long Beach Unified,Lakewood High,Long Beach Unified_Lakewood High,tested,FALSE,1
Long Beach Unified,Monroe K-8,Long Beach Unified_Monroe K-8,tested,FALSE,1
Bellflower Unified,Craig Williams Elementary,Bellflower Unified_Craig Williams Elementary,tested,FALSE,1
Bellflower Unified,Stephen Foster Elementary,Bellflower Unified_Stephen Foster Elementary,tested,FALSE,1
Bellflower Unified,Esther Lindstrom Elementary,Bellflower Unified_Esther Lindstrom Elementary,tested,FALSE,1
Bellflower Unified,Mayfair High,Bellflower Unified_Mayfair High,tested,FALSE,1
Bellflower Unified,Intensive Learning Center,Bellflower Unified_Intensive Learning Center,tested,FALSE,1
Long Beach Unified,Cleveland Elementary,Long Beach Unified_Cleveland Elementary,tested,FALSE,5
Saugus Union,Bridgeport Elementary,Saugus Union_Bridgeport Elementary,tested,FALSE,1
Saugus Union,Charles Helmers Elementary,Saugus Union_Charles Helmers Elementary,tested,FALSE,1
Saugus Union,West Creek Academy,Saugus Union_West Creek Academy,tested,FALSE,1
Castaic Union,Castaic Middle,Castaic Union_Castaic Middle,tested,FALSE,1
Castaic Union,Castaic Elementary,Castaic Union_Castaic Elementary,tested,FALSE,1
Newhall,Stevenson Ranch Elementary,Newhall_Stevenson Ranch Elementary,tested,FALSE,1
Newhall,Pico Canyon Elementary,Newhall_Pico Canyon Elementary,tested,FALSE,1
Newhall,Oak Hills Elementary,Newhall_Oak Hills Elementary,tested,FALSE,2
Newhall,Valencia Valley Elementary,Newhall_Valencia Valley Elementary,tested,FALSE,1
Newhall,Meadows Elementary,Newhall_Meadows Elementary,tested,FALSE,1
Newhall,Old Orchard Elementary,Newhall_Old Orchard Elementary,tested,FALSE,1
William S. Hart Union High,West Ranch High,William S. Hart Union High_West Ranch High,tested,FALSE,1
William S. Hart Union High,Valencia High,William S. Hart Union High_Valencia High,tested,FALSE,2
William S. Hart Union High,Rio Norte Junior High,William S. Hart Union High_Rio Norte Junior High,tested,FALSE,1
William S. Hart Union High,Rancho Pico Junior High,William S. Hart Union High_Rancho Pico Junior High,tested,FALSE,1
William S. Hart Union High,Academy of the Canyons,William S. Hart Union High_Academy of the Canyons,tested,FALSE,1
William S. Hart Union High,Learning Post High (Alternative),William S. Hart Union High_Learning Post High (Alternative),tested,FALSE,1
,Opportunity for Learning,_Opportunity for Learning,#N/A,FALSE,1
Acton-Agua Dulce Unified,iLEAD Hybrid,Acton-Agua Dulce Unified_iLEAD Hybrid,tested,FALSE,1
William S. Hart Union High,Santa Clarita Valley International,William S. Hart Union High_Santa Clarita Valley International,tested,FALSE,1
Westside Union Elementary,Leona Valley Elementary,Westside Union Elementary_Leona Valley Elementary,tested,FALSE,1
Whittier Union High,Santa Fe High,Whittier Union High_Santa Fe High,tested,FALSE,1
Little Lake City Elementary,Lake Center Middle,Little Lake City Elementary_Lake Center Middle,tested,FALSE,1
Little Lake City Elementary,Lakeview Elementary,Little Lake City Elementary_Lakeview Elementary,tested,FALSE,4
Little Lake City Elementary,Jersey Avenue Elementary,Little Lake City Elementary_Jersey Avenue Elementary,tested,FALSE,1
Castaic Union,Northlake Hills Elementary,Castaic Union_Northlake Hills Elementary,tested,FALSE,1
Acton-Agua Dulce Unified,Community Collaborative Charter,Acton-Agua Dulce Unified_Community Collaborative Charter,tested,FALSE,1
Acton-Agua Dulce Unified,High Desert,Acton-Agua Dulce Unified_High Desert,tested,FALSE,1
Acton-Agua Dulce Unified,Meadowlark Elementary,Acton-Agua Dulce Unified_Meadowlark Elementary,tested,FALSE,1
Sulphur Springs Union,Pinetree Community Elementary,Sulphur Springs Union_Pinetree Community Elementary,tested,FALSE,1
Saugus Union,Tesoro del Valle Elementary,Saugus Union_Tesoro del Valle Elementary,tested,FALSE,1
Chowchilla Elementary,Fairmead Elementary,Chowchilla Elementary_Fairmead Elementary,tested,FALSE,1
Madera Unified,Eastin Arcola,Madera Unified_Eastin Arcola,tested,FALSE,1
Chowchilla Elementary,Merle L. Fuller Elementary,Chowchilla Elementary_Merle L. Fuller Elementary,tested,FALSE,1
Chowchilla Elementary,Ronald Reagan Elementary,Chowchilla Elementary_Ronald Reagan Elementary,tested,FALSE,5
Chowchilla Elementary,Stephens Elementary,Chowchilla Elementary_Stephens Elementary,tested,FALSE,1
Bass Lake Joint Union Elementary,Oak Creek Intermediate,Bass Lake Joint Union Elementary_Oak Creek Intermediate,tested,FALSE,1
Bass Lake Joint Union Elementary,Oakhurst Elementary,Bass Lake Joint Union Elementary_Oakhurst Elementary,tested,FALSE,1
Golden Valley Unified,Webster Elementary,Golden Valley Unified_Webster Elementary,tested,FALSE,5
Madera Unified,Berenda Elementary,Madera Unified_Berenda Elementary,tested,FALSE,1
,Crossroads Christian School,_Crossroads Christian School,#N/A,FALSE,1
Raymond-Knowles Union Elementary,Raymond-Knowles Elementary,Raymond-Knowles Union Elementary_Raymond-Knowles Elementary,tested,FALSE,1
Shoreline Unified,Inverness Elementary,Shoreline Unified_Inverness Elementary,tested,FALSE,1
San Rafael City Elementary,Bahia Vista Elementary,San Rafael City Elementary_Bahia Vista Elementary,tested,FALSE,1
San Rafael City Elementary,Glenwood Elementary,San Rafael City Elementary_Glenwood Elementary,tested,FALSE,2
Dixie Elementary,Dixie Elementary,Dixie Elementary_Dixie Elementary,tested,FALSE,1
Dixie Elementary,Vallecito Elementary,Dixie Elementary_Vallecito Elementary,tested,FALSE,1
Dixie Elementary,Mary E. Silveira Elementary,Dixie Elementary_Mary E. Silveira Elementary,tested,FALSE,1
Dixie Elementary,Miller Creek Middle,Dixie Elementary_Miller Creek Middle,tested,FALSE,1
Tamalpais Union High,Redwood High,Tamalpais Union High_Redwood High,tested,FALSE,3
Tamalpais Union High,Tamiscal High (Alternative),Tamalpais Union High_Tamiscal High (Alternative),tested,FALSE,1
Tamalpais Union High,San Andreas High (Continuation),Tamalpais Union High_San Andreas High (Continuation),tested,FALSE,1
Tamalpais Union High,Sir Francis Drake High,Tamalpais Union High_Sir Francis Drake High,tested,FALSE,1
Tamalpais Union High,Tamalpais High,Tamalpais Union High_Tamalpais High,tested,FALSE,1
Larkspur-Corte Madera,Hall Middle,Larkspur-Corte Madera_Hall Middle,tested,FALSE,1
Larkspur-Corte Madera,Neil Cummins Elementary,Larkspur-Corte Madera_Neil Cummins Elementary,tested,FALSE,1
Larkspur-Corte Madera,Cove,Larkspur-Corte Madera_Cove,tested,FALSE,1
San Rafael City Elementary,Laurel Dell Elementary,San Rafael City Elementary_Laurel Dell Elementary,tested,FALSE,1
San Rafael City Elementary,James B. Davidson Middle,San Rafael City Elementary_James B. Davidson Middle,tested,FALSE,1
San Rafael City Elementary,Coleman Elementary,San Rafael City Elementary_Coleman Elementary,tested,FALSE,1
San Rafael City Elementary,Venetia Valley K-8,San Rafael City Elementary_Venetia Valley K-8,tested,FALSE,1
San Rafael City Elementary,Short Elementary,San Rafael City Elementary_Short Elementary,tested,FALSE,1
San Rafael City Elementary,Sun Valley Elementary,San Rafael City Elementary_Sun Valley Elementary,tested,FALSE,1
San Rafael City High,Terra Linda High,San Rafael City High_Terra Linda High,tested,FALSE,1
San Rafael City High,San Rafael High,San Rafael City High_San Rafael High,tested,FALSE,1
San Rafael City Elementary,San Rafael Childrens Early Intervention Center,San Rafael City Elementary_San Rafael Childrens Early Intervention Center,tested,FALSE,1
San Rafael City Elementary,San Pedro Elementary,San Rafael City Elementary_San Pedro Elementary,tested,FALSE,1
Kentfield Elementary,Anthony G. Bacich Elementary,Kentfield Elementary_Anthony G. Bacich Elementary,tested,FALSE,1
Kentfield Elementary,Adaline E. Kent Middle,Kentfield Elementary_Adaline E. Kent Middle,tested,FALSE,1
Ross Elementary,Ross Elementary,Ross Elementary_Ross Elementary,tested,FALSE,2
,Mark Day School,_Mark Day School,#N/A,FALSE,1
,St. Anselm School,_St. Anselm School,#N/A,FALSE,1
Mill Valley Elementary,Park Elementary,Mill Valley Elementary_Park Elementary,tested,FALSE,3
Mill Valley Elementary,Edna Maguire Elementary,Mill Valley Elementary_Edna Maguire Elementary,tested,FALSE,1
Mill Valley Elementary,Tamalpais Valley Elementary,Mill Valley Elementary_Tamalpais Valley Elementary,tested,FALSE,1
Mill Valley Elementary,Mill Valley Middle,Mill Valley Elementary_Mill Valley Middle,tested,FALSE,1
Mill Valley Elementary,Old Mill Elementary,Mill Valley Elementary_Old Mill Elementary,tested,FALSE,1
Mill Valley Elementary,Strawberry Point Elementary,Mill Valley Elementary_Strawberry Point Elementary,tested,FALSE,1
Ross Valley Elementary,White Hill Middle,Ross Valley Elementary_White Hill Middle,tested,FALSE,1
Ross Valley Elementary,Hidden Valley Elementary,Ross Valley Elementary_Hidden Valley Elementary,tested,FALSE,3
Ross Valley Elementary,Wade Thomas Elementary,Ross Valley Elementary_Wade Thomas Elementary,tested,FALSE,1
Ross Valley Elementary,Manor Elementary,Ross Valley Elementary_Manor Elementary,tested,FALSE,1
Ross Valley Elementary,Deer Park Elementary School,Ross Valley Elementary_Deer Park Elementary School,tested,FALSE,1
Ross Valley Elementary,Red Hill Intermediate School,Ross Valley Elementary_Red Hill Intermediate School,tested,FALSE,1
Marin County Office of Education,Marindale School,Marin County Office of Education_Marindale School,tested,FALSE,1
Marin County Office of Education,Magnolia Park School,Marin County Office of Education_Magnolia Park School,tested,FALSE,1
Marin County Office of Education,Grant Grover School,Marin County Office of Education_Grant Grover School,tested,FALSE,1
Marin County Office of Education,Marin's Community,Marin County Office of Education_Marin's Community,tested,FALSE,1
,Saint Raphael Elementary,_Saint Raphael Elementary,#N/A,FALSE,1
Lagunitas Elementary,Lagunitas Elementary,Lagunitas Elementary_Lagunitas Elementary,tested,FALSE,1
Sausalito Marin City,Willow Creek Academy,Sausalito Marin City_Willow Creek Academy,tested,FALSE,1
Sausalito Marin City,Bayside Martin Luther King Jr. Academy,Sausalito Marin City_Bayside Martin Luther King Jr. Academy,tested,FALSE,1
Reed Union Elementary,Bel Aire Elementary,Reed Union Elementary_Bel Aire Elementary,tested,FALSE,1
,Saint Hilary Elementary,_Saint Hilary Elementary,#N/A,FALSE,1
,Lycee Francais de San Francisco,_Lycee Francais de San Francisco,#N/A,FALSE,1
Novato Unified,Olive Elementary,Novato Unified_Olive Elementary,tested,FALSE,3
Novato Unified,Lu Sutton Elementary,Novato Unified_Lu Sutton Elementary,tested,FALSE,1
Novato Unified,Lynwood Elementary,Novato Unified_Lynwood Elementary,tested,FALSE,1
Novato Unified,San Marin High,Novato Unified_San Marin High,tested,FALSE,1
Novato Unified,Novato High,Novato Unified_Novato High,tested,FALSE,1
Novato Unified,Marin Oaks High,Novato Unified_Marin Oaks High,tested,FALSE,1
Novato Unified,Nova Education Center,Novato Unified_Nova Education Center,tested,FALSE,1
Novato Unified,Novato Adult Education Center,Novato Unified_Novato Adult Education Center,tested,FALSE,1
Novato Unified,Novato Early Intervention,Novato Unified_Novato Early Intervention,tested,FALSE,1
Novato Unified,Nexus Academy,Novato Unified_Nexus Academy,tested,FALSE,1
,Bolinas Stinson Elementary School,_Bolinas Stinson Elementary School,#N/A,FALSE,1
Bolinas-Stinson Union,Bolinas-Stinson Elementary,Bolinas-Stinson Union_Bolinas-Stinson Elementary,tested,FALSE,1
Shoreline Unified,West Marin Elementary,Shoreline Unified_West Marin Elementary,tested,FALSE,1
Mariposa County Unified,Mariposa County High,Mariposa County Unified_Mariposa County High,tested,FALSE,1
Mariposa County Unified,Mariposa Elementary,Mariposa County Unified_Mariposa Elementary,tested,FALSE,3
Mariposa County Office of Education,Monarch Academy,Mariposa County Office of Education_Monarch Academy,tested,FALSE,1
,Victory Baptist Christian School,_Victory Baptist Christian School,#N/A,FALSE,1
Mariposa County Unified,Yosemite National Park Valley Elementary,Mariposa County Unified_Yosemite National Park Valley Elementary,tested,FALSE,1
Mariposa County Unified,Yosemite National Park El Portal,Mariposa County Unified_Yosemite National Park El Portal,tested,FALSE,1
Mariposa County Unified,Yosemite Park High,Mariposa County Unified_Yosemite Park High,tested,FALSE,1
Ukiah Unified,Calpella Elementary,Ukiah Unified_Calpella Elementary,tested,FALSE,1
Willits Unified,La Vida Charter,Willits Unified_La Vida Charter,tested,FALSE,1
Ukiah Unified,Frank Zeek Elementary,Ukiah Unified_Frank Zeek Elementary,tested,FALSE,1
Ukiah Unified,Nokomis Elementary,Ukiah Unified_Nokomis Elementary,tested,FALSE,1
Ukiah Unified,Oak Manor Elementary,Ukiah Unified_Oak Manor Elementary,tested,FALSE,1
Ukiah Unified,Pomolita Middle,Ukiah Unified_Pomolita Middle,tested,FALSE,1
Ukiah Unified,Redwood Academy of Ukiah,Ukiah Unified_Redwood Academy of Ukiah,tested,FALSE,1
Ukiah Unified,Accelerated Achievement Academy,Ukiah Unified_Accelerated Achievement Academy,tested,FALSE,1
Ukiah Unified,River Oak Charter,Ukiah Unified_River Oak Charter,tested,FALSE,1
Ukiah Unified,South Valley High (Continuation),Ukiah Unified_South Valley High (Continuation),tested,FALSE,1
,St. Mary of the Angels,_St. Mary of the Angels,#N/A,FALSE,1
Ukiah Unified,Ukiah Adult,Ukiah Unified_Ukiah Adult,tested,FALSE,1
Ukiah Unified,Ukiah High,Ukiah Unified_Ukiah High,tested,FALSE,1
Ukiah Unified,Yokayo Elementary,Ukiah Unified_Yokayo Elementary,tested,FALSE,1
Ukiah Unified,Ukiah Independent Study Academy,Ukiah Unified_Ukiah Independent Study Academy,tested,FALSE,1
Ukiah Unified,Tree of Life Charter,Ukiah Unified_Tree of Life Charter,tested,FALSE,1
Mendocino County Office of Education,Orr Creek,Mendocino County Office of Education_Orr Creek,tested,FALSE,1
Ukiah Unified,Preschool Village,Ukiah Unified_Preschool Village,tested,FALSE,1
Willits Unified,Baechtel Grove Middle,Willits Unified_Baechtel Grove Middle,tested,FALSE,1
Willits Unified,Blosser Lane Elementary,Willits Unified_Blosser Lane Elementary,tested,FALSE,1
Willits Unified,Brookside Elementary,Willits Unified_Brookside Elementary,tested,FALSE,4
Willits Unified,Willits High,Willits Unified_Willits High,tested,FALSE,1
Willits Unified,Sanhedrin High,Willits Unified_Sanhedrin High,tested,FALSE,1
Willits Unified,Willits Charter,Willits Unified_Willits Charter,tested,FALSE,1
Willits Unified,Willits Elementary Charter,Willits Unified_Willits Elementary Charter,tested,FALSE,1
,Adventist Christian School,_Adventist Christian School,#N/A,FALSE,1
Ukiah Unified,Grace Hudson Elementary,Ukiah Unified_Grace Hudson Elementary,tested,FALSE,1
Ukiah Unified,Eagle Peak Middle,Ukiah Unified_Eagle Peak Middle,tested,FALSE,1
Laytonville Unified,Laytonville High,Laytonville Unified_Laytonville High,tested,FALSE,1
Atwater Elementary,Aileen Colburn Elementary,Atwater Elementary_Aileen Colburn Elementary,tested,FALSE,1
Atwater Elementary,Elmer Wood Elementary,Atwater Elementary_Elmer Wood Elementary,tested,FALSE,1
Atwater Elementary,Peggy Heller Elementary,Atwater Elementary_Peggy Heller Elementary,tested,FALSE,1
Atwater Elementary,Thomas Olaeta Elementary,Atwater Elementary_Thomas Olaeta Elementary,tested,FALSE,1
Atwater Elementary,Shaffer Elementary,Atwater Elementary_Shaffer Elementary,tested,FALSE,1
Atwater Elementary,Bellevue Elementary,Atwater Elementary_Bellevue Elementary,tested,FALSE,1
Atwater Elementary,Bellevue Senior Elementary,Atwater Elementary_Bellevue Senior Elementary,tested,FALSE,1
Atwater Elementary,Mitchell Intermediate,Atwater Elementary_Mitchell Intermediate,tested,FALSE,1
,King's Christian Academy,_King's Christian Academy,#N/A,FALSE,1
Merced County Office of Education,Valley Atwater Community,Merced County Office of Education_Valley Atwater Community,tested,FALSE,1
,St. Anthony,_St. Anthony,#N/A,FALSE,1
,Landmark Christian,_Landmark Christian,#N/A,FALSE,1
Dos Palos Oro Loma Joint Unified,Bernhard Marks Elementary,Dos Palos Oro Loma Joint Unified_Bernhard Marks Elementary,tested,FALSE,1
Dos Palos Oro Loma Joint Unified,Bryant Middle,Dos Palos Oro Loma Joint Unified_Bryant Middle,tested,FALSE,1
Dos Palos Oro Loma Joint Unified,Westside High,Dos Palos Oro Loma Joint Unified_Westside High,tested,FALSE,1
Dos Palos Oro Loma Joint Unified,Dos Palos Elementary,Dos Palos Oro Loma Joint Unified_Dos Palos Elementary,tested,FALSE,1
Dos Palos Oro Loma Joint Unified,Dos Palos High,Dos Palos Oro Loma Joint Unified_Dos Palos High,tested,FALSE,1
Merced Union High,Livingston High,Merced Union High_Livingston High,tested,FALSE,1
Livingston Union,Selma Herndon Elementary,Livingston Union_Selma Herndon Elementary,tested,FALSE,1
Livingston Union,Campus Park Elementary,Livingston Union_Campus Park Elementary,tested,FALSE,1
Livingston Union,Livingston Middle,Livingston Union_Livingston Middle,tested,FALSE,1
Livingston Union,Yamato Colony Elementary,Livingston Union_Yamato Colony Elementary,tested,FALSE,1
Los Banos Unified,Henry Miller Elementary,Los Banos Unified_Henry Miller Elementary,tested,FALSE,1
Los Banos Unified,Crossroads Alternative Education Center,Los Banos Unified_Crossroads Alternative Education Center,tested,FALSE,1
Los Banos Unified,Green Valley Charter,Los Banos Unified_Green Valley Charter,tested,FALSE,1
Los Banos Unified,Lorena Falasco Elementary,Los Banos Unified_Lorena Falasco Elementary,tested,FALSE,1
Los Banos Unified,San Luis High (Continuation),Los Banos Unified_San Luis High (Continuation),tested,FALSE,1
Los Banos Unified,Los Banos Junior High,Los Banos Unified_Los Banos Junior High,tested,FALSE,1
Los Banos Unified,R. M. Miano Elementary,Los Banos Unified_R. M. Miano Elementary,tested,FALSE,1
Los Banos Unified School District,Creekside Junior High School,Los Banos Unified School District_Creekside Junior High School,tested,FALSE,1
Los Banos Unified,Los Banos Elementary,Los Banos Unified_Los Banos Elementary,tested,FALSE,1
Los Banos Unified,Los Banos High,Los Banos Unified_Los Banos High,tested,FALSE,1
Los Banos Unified,Mercey Springs Elementary,Los Banos Unified_Mercey Springs Elementary,tested,FALSE,1
Los Banos Unified,Pacheco High,Los Banos Unified_Pacheco High,tested,FALSE,1
Los Banos Unified,Westside Union Elementary,Los Banos Unified_Westside Union Elementary,tested,FALSE,1
Merced County Office of Education,Valley Los Banos Community,Merced County Office of Education_Valley Los Banos Community,tested,FALSE,1
Delhi Unified,Delhi High,Delhi Unified_Delhi High,tested,FALSE,1
Delhi Unified,Delhi Middle,Delhi Unified_Delhi Middle,tested,FALSE,1
Delhi Unified,Harmony Elementary,Delhi Unified_Harmony Elementary,tested,FALSE,2
Delhi Unified,Schendel Elementary,Delhi Unified_Schendel Elementary,tested,FALSE,1
Delhi Unified,El Capitan Elementary,Delhi Unified_El Capitan Elementary,tested,FALSE,1
Planada Elementary,Cesar E. Chavez Middle,Planada Elementary_Cesar E. Chavez Middle,tested,FALSE,2
Merced City Elementary,Franklin Elementary,Merced City Elementary_Franklin Elementary,tested,FALSE,14
Merced City Elementary,Joe Stefani,Merced City Elementary_Joe Stefani,tested,FALSE,1
,St. Paul Lutheran School,_St. Paul Lutheran School,#N/A,FALSE,1
,Providence Christian School,_Providence Christian School,#N/A,FALSE,1
Merced City Elementary,Luther Burbank Elementary,Merced City Elementary_Luther Burbank Elementary,tested,FALSE,2
Merced City Elementary,Donn B. Chenoweth Elementary,Merced City Elementary_Donn B. Chenoweth Elementary,tested,FALSE,1
Merced City Elementary,Herbert H. Cruickshank Middle,Merced City Elementary_Herbert H. Cruickshank Middle,tested,FALSE,1
Merced City Elementary,Ada Givens Elementary,Merced City Elementary_Ada Givens Elementary,tested,FALSE,1
Merced City Elementary,Leontine Gracey Elementary,Merced City Elementary_Leontine Gracey Elementary,tested,FALSE,1
Merced City Elementary,Herbert Hoover Middle,Merced City Elementary_Herbert Hoover Middle,tested,FALSE,2
Merced City Elementary,Allan Peterson Elementary,Merced City Elementary_Allan Peterson Elementary,tested,FALSE,1
Merced City Elementary,Alicia Reyes Elementary,Merced City Elementary_Alicia Reyes Elementary,tested,FALSE,1
Merced City Elementary,Rudolph Rivera Elementary,Merced City Elementary_Rudolph Rivera Elementary,tested,FALSE,1
Merced City Elementary,Margaret Sheehy Elementary,Merced City Elementary_Margaret Sheehy Elementary,tested,FALSE,1
Merced City Elementary,Don Stowell Elementary,Merced City Elementary_Don Stowell Elementary,tested,FALSE,1
Merced City Elementary,Tenaya Middle,Merced City Elementary_Tenaya Middle,tested,FALSE,2
Merced City Elementary,Charles Wright Elementary,Merced City Elementary_Charles Wright Elementary,tested,FALSE,1
Merced Union High,Merced High,Merced Union High_Merced High,tested,FALSE,1
Merced Union High,El Capitan High,Merced Union High_El Capitan High,tested,FALSE,2
Merced Union High,Golden Valley High,Merced Union High_Golden Valley High,tested,FALSE,2
Merced City Elementary,Rudolph Rivera Middle,Merced City Elementary_Rudolph Rivera Middle,tested,FALSE,1
,Our Lady of Mercy,_Our Lady of Mercy,#N/A,FALSE,1
Merced County Office of Education,Valley Merced Community,Merced County Office of Education_Valley Merced Community,tested,FALSE,1
Merced County Office of Education,Merced Scholars Charter,Merced County Office of Education_Merced Scholars Charter,tested,FALSE,1
Weaver Union,Weaver Middle,Weaver Union_Weaver Middle,tested,FALSE,1
Weaver Union,Farmdale Elementary,Weaver Union_Farmdale Elementary,tested,FALSE,1
,Wolfe Education,_Wolfe Education,#N/A,FALSE,1
Winton,Frank Sparkes Elementary,Winton_Frank Sparkes Elementary,tested,FALSE,1
Winton,Sybil N. Crookham Elementary,Winton_Sybil N. Crookham Elementary,tested,FALSE,1
Winton,Winfield Elementary,Winton_Winfield Elementary,tested,FALSE,1
Winton,Winton Middle,Winton_Winton Middle,not tested,FALSE,2
Le Grand Union High,Le Grand High,Le Grand Union High_Le Grand High,tested,FALSE,1
Le Grand Union Elementary,Le Grand Elementary,Le Grand Union Elementary_Le Grand Elementary,tested,FALSE,1
Hilmar Unified,Elim Elementary,Hilmar Unified_Elim Elementary,tested,FALSE,1
Hilmar Unified,Hilmar High,Hilmar Unified_Hilmar High,tested,FALSE,1
Hilmar Unified,Hilmar Middle,Hilmar Unified_Hilmar Middle,tested,FALSE,1
Gustine Unified,Romero Elementary,Gustine Unified_Romero Elementary,tested,FALSE,1
Modoc Joint Unified,Modoc High,Modoc Joint Unified_Modoc High,tested,FALSE,1
Modoc Joint Unified,Modoc Middle,Modoc Joint Unified_Modoc Middle,tested,FALSE,1
Modoc Joint Unified,Alturas Elementary,Modoc Joint Unified_Alturas Elementary,tested,FALSE,1
Modoc Joint Unified,Modoc Community Adult,Modoc Joint Unified_Modoc Community Adult,tested,FALSE,1
,New Day Academy ,_New Day Academy,#N/A,FALSE,1
Surprise Valley Joint Unified,Surprise Valley Elementary,Surprise Valley Joint Unified_Surprise Valley Elementary,tested,FALSE,1
Surprise Valley Joint Unified,Surprise Valley High,Surprise Valley Joint Unified_Surprise Valley High,tested,FALSE,1
Pajaro Valley Unified,Ohlone Elementary,Pajaro Valley Unified_Ohlone Elementary,tested,FALSE,3
Chualar Union,Chualar Elementary,Chualar Union_Chualar Elementary,tested,FALSE,1
Mission Union Elementary,Mission Elementary,Mission Union Elementary_Mission Elementary,tested,FALSE,3
Monterey Peninsula Unified,Del Rey Woods Elementary,Monterey Peninsula Unified_Del Rey Woods Elementary,tested,FALSE,1
Monterey Peninsula Unified,Monterey High,Monterey Peninsula Unified_Monterey High,tested,FALSE,1
Monterey Peninsula Unified,Walter Colton,Monterey Peninsula Unified_Walter Colton,tested,FALSE,1
Monterey Peninsula Unified,Ord Terrace Elementary,Monterey Peninsula Unified_Ord Terrace Elementary,tested,FALSE,1
Monterey Peninsula Unified,La Mesa Elementary,Monterey Peninsula Unified_La Mesa Elementary,tested,FALSE,1
Monterey County Office of Education,Bay View Academy,Monterey County Office of Education_Bay View Academy,tested,FALSE,1
,Trinity Christian High School,_Trinity Christian High School,#N/A,FALSE,1
Carmel Unified,Carmel Adult,Carmel Unified_Carmel Adult,tested,FALSE,1
Carmel Unified,Carmel River Elementary,Carmel Unified_Carmel River Elementary,tested,FALSE,1
Carmel Unified,Carmel High,Carmel Unified_Carmel High,tested,FALSE,1
Carmel Unified,Carmel Middle,Carmel Unified_Carmel Middle,tested,FALSE,1
Carmel Unified,Carmel Valley High,Carmel Unified_Carmel Valley High,tested,FALSE,1
Carmel Unified,Carmel Child Development Center,Carmel Unified_Carmel Child Development Center,tested,FALSE,1
Carmel Unified,Tularcitos Elementary,Carmel Unified_Tularcitos Elementary,tested,FALSE,1
,Cabrillo Elementary School,_Cabrillo Elementary School,#N/A,FALSE,1
Monterey Peninsula Unified School District ,Seaside Children’s Center,Monterey Peninsula Unified School District_Seaside Children’s Center,tested,FALSE,1
Monterey Peninsula Unified School District,Instructional Materials Center,Monterey Peninsula Unified School District_Instructional Materials Center,tested,FALSE,1
Big Sur Unified,Big Sur Charter,Big Sur Unified_Big Sur Charter,tested,FALSE,1
Pacific Grove Unified,Forest Grove Elementary,Pacific Grove Unified_Forest Grove Elementary,tested,FALSE,1
Pacific Grove Unified,Robert Down Elementary,Pacific Grove Unified_Robert Down Elementary,tested,FALSE,1
Pacific Grove Unified,Pacific Grove Middle,Pacific Grove Unified_Pacific Grove Middle,tested,FALSE,1
Pacific Grove Unified,Pacific Grove Adult,Pacific Grove Unified_Pacific Grove Adult,tested,FALSE,1
Monterey County Office of Education,Monterey Bay Charter,Monterey County Office of Education_Monterey Bay Charter,tested,FALSE,1
Pacific Grove Unified,Community High (Continuation),Pacific Grove Unified_Community High (Continuation),tested,FALSE,1
Monterey County Office of Education,Arthur B Ingham School,Monterey County Office of Education_Arthur B Ingham School,tested,FALSE,1
Washington Union Elementary,San Benancio Middle,Washington Union Elementary_San Benancio Middle,tested,FALSE,1
Gonzales Unified,Gonzales High,Gonzales Unified_Gonzales High,tested,FALSE,1
Gonzales Unified,Fairview Middle,Gonzales Unified_Fairview Middle,tested,FALSE,1
Gonzales Unified,La Gloria Elementary,Gonzales Unified_La Gloria Elementary,tested,FALSE,1
Gonzales Unified,Somavia High,Gonzales Unified_Somavia High,tested,FALSE,1
King City Union,King City Arts Magnet,King City Union_King City Arts Magnet,tested,FALSE,1
King City Union,Santa Lucia Elementary,King City Union_Santa Lucia Elementary,tested,FALSE,1
King City Union,Chalone Peaks Middle,King City Union_Chalone Peaks Middle,tested,FALSE,1
South Monterey County Joint Union High,King City High,South Monterey County Joint Union High_King City High,tested,FALSE,1
South Monterey County Joint Union High,Portola-Butler Continuation High,South Monterey County Joint Union High_Portola-Butler Continuation High,tested,FALSE,1
Santa Rita Union Elementary,Bolsa Knolls Middle,Santa Rita Union Elementary_Bolsa Knolls Middle,tested,FALSE,1
Santa Rita Union Elementary,Santa Rita Elementary,Santa Rita Union Elementary_Santa Rita Elementary,tested,FALSE,2
Santa Rita Union Elementary,Gavilan View Middle,Santa Rita Union Elementary_Gavilan View Middle,tested,FALSE,1
Santa Rita Union Elementary,La Joya Elementary,Santa Rita Union Elementary_La Joya Elementary,tested,FALSE,1
Santa Rita Union Elementary,McKinnon,Santa Rita Union Elementary_McKinnon,tested,FALSE,1
